Date,market_ret
2010-09-01,0.03232161569734302
2010-09-02,0.011567053294041101
2010-09-03,0.015059299969834062
2010-09-07,-0.01148100581580489
2010-09-08,0.00819107066781766
2010-09-09,0.003234499764906704
2010-09-10,0.004144443388286476
2010-09-13,0.014347287928575881
2010-09-14,0.00074042797208731
2010-09-15,0.0030227380591119142
2010-09-16,0.0016781208119675134
2010-09-17,2.8816597749743313e-06
2010-09-20,0.015276341368390187
2010-09-21,-0.0023660944012439756
2010-09-22,-0.0041890749731024295
2010-09-23,-0.0066448016995182164
2010-09-24,0.022879456566272112
2010-09-27,-0.0047185428195725115
2010-09-28,0.004630719099211908
2010-09-29,-0.0004719103441299822
2010-09-30,-0.004293017438349513
2010-10-01,0.0036003863453650123
2010-10-04,-0.00899335497414756
2010-10-05,0.022236759865561524
